scientific_name,longitude,latitude
Bassaricyon alleni,-71.81475,-7.84219
Bassaricyon alleni,-73.44844,7.02192
Bassaricyon alleni,-73.45672,6.56263
Bassaricyon alleni,-58.68429,4.67258
Bassaricyon alleni,-58.85,4.733
Bassaricyon alleni,-64.7825,-17.10528
Bassaricyon alleni,-78.233,-3.483
Bassaricyon alleni,-69.083,-13
Bassaricyon alleni,-69.295,-12.838
Bassaricyon alleni,-73.66536,-7.45831
Bassaricyon alleni,-78.08,-2.72
Bassaricyon alleni,-78.17881,-4.53948
Bassaricyon alleni,-72.17,8.17
Bassaricyon alleni,-65.28,2.25
Bassaricyon alleni,-67.65,5.4
Bassaricyon alleni,-73.51667,-3.76667
Bassaricyon alleni,-74.58334,-3.33333
Bassaricyon alleni,-77.6275,-0.54111
Bassaricyon alleni,-75.31667,-11.05
Bassaricyon alleni,-74.68333,-8.83333
Bassaricyon alleni,-74.6,-8.3
Bassaricyon alleni,-77.89583,-1.07466
Bassaricyon alleni,-78.0833,-1.0833
Bassaricyon alleni,-76.96667,-2.06667
Bassaricyon alleni,-75.53333,-10.06667
Bassaricyon alleni,-77.29126,-1.04454
Bassaricyon alleni,-73.9781,9.0047
Bassaricyon alleni,-73.42,4.17
Bassaricyon alleni,-77.60329,-0.68884
Bassaricyon alleni,-77.4833,-1.7333
Bassaricyon alleni,-75.45733,-10.389
Bassaricyon alleni,-79.9,-2.167
Bassaricyon alleni,-70.72194,-12.33869
Bassaricyon alleni,-76.73172,-1.10424
Bassaricyon alleni,-69.49339,-12.06862
