scientific_name,longitude,latitude
Bassaricyon neblina,-78.60644,0.113
Bassaricyon neblina,-76.45747,4.04906
Bassaricyon neblina,-75.00839,5.52093
Bassaricyon neblina,-76.28342,4.68834
Bassaricyon neblina,-78.60545,-0.02233
Bassaricyon neblina,-76.14713,4.80649
Bassaricyon neblina,-75.22453,5.79758
Bassaricyon neblina,-78.28604,0.87576
Bassaricyon neblina,-75.90609,5.62095
Bassaricyon neblina,-76.00746,6.31692
Bassaricyon neblina,-78.62154,-0.18812
Bassaricyon neblina,-78.74364,0.1859
Bassaricyon neblina,-78.40983,0.22687
Bassaricyon neblina,-78.97486,-0.50208
Bassaricyon neblina,-78.82155,-0.65418
Bassaricyon neblina,-76.88333,2.53333
Bassaricyon neblina,-76.41667,6.33333
Bassaricyon neblina,-76.48333,1.95
