scientific_name,longitude,latitude
Nyctereutes procyonoides,133.714573,33.616477
Nyctereutes procyonoides,138.78491,35.140233
Nyctereutes procyonoides,140.574408,37.714139
Nyctereutes procyonoides,140.924987,37.106416
Nyctereutes procyonoides,140.905678,37.465422
Nyctereutes procyonoides,140.909005,37.578527
Nyctereutes procyonoides,140.851959,37.197225
Nyctereutes procyonoides,140.751676,37.640445
Nyctereutes procyonoides,140.951558,37.313006
Nyctereutes procyonoides,140.708727,37.792753
Nyctereutes procyonoides,140.677532,37.364242
Nyctereutes procyonoides,140.739022,37.541666
Nyctereutes procyonoides,133.241158,34.841664
Nyctereutes procyonoides,140.761692,37.280968
Nyctereutes procyonoides,140.562992,37.594761
Nyctereutes procyonoides,140.616479,37.477119
Nyctereutes procyonoides,140.556347,37.368574
Nyctereutes procyonoides,140.744599,37.442494
Nyctereutes procyonoides,140.856491,37.678118
Nyctereutes procyonoides,140.902228,37.79139
Nyctereutes procyonoides,137.1849,35.03630003
Nyctereutes procyonoides,131.2602,33.04500003
Nyctereutes procyonoides,141.2,38.80000004
Nyctereutes procyonoides,130.5582,31.82920003
Nyctereutes procyonoides,131.3167,34.26650003
Nyctereutes procyonoides,133.372,33.41590003
Nyctereutes procyonoides,136.0889,35.66110003
Nyctereutes procyonoides,134.4299,33.96440003
Nyctereutes procyonoides,132.4275,33.43720003
Nyctereutes procyonoides,136.9,35.50000003
Nyctereutes procyonoides,130.683,32.83180003
Nyctereutes procyonoides,139.3487,35.42990003
Nyctereutes procyonoides,138.4,36.20000004
Nyctereutes procyonoides,130.8551,33.84790003
Nyctereutes procyonoides,139.3533,35.99720004
Nyctereutes procyonoides,136.9593,35.38870003
Nyctereutes procyonoides,141.7812,43.07330004
Nyctereutes procyonoides,141.4681,38.64450004
Nyctereutes procyonoides,139.2351,35.64770003
Nyctereutes procyonoides,139.9,38.60000004
Nyctereutes procyonoides,137.1235,35.19170003
Nyctereutes procyonoides,135.4338,34.83290003
Nyctereutes procyonoides,137.2201,36.13370004
Nyctereutes procyonoides,130.2142,33.59520003
Nyctereutes procyonoides,132.4549,34.61250003
Nyctereutes procyonoides,138.5889,35.67190003
Nyctereutes procyonoides,132.8864,33.75110003
Nyctereutes procyonoides,133.1,34.50000003
Nyctereutes procyonoides,135.7,34.90000003
Nyctereutes procyonoides,140.1762,35.96520004
Nyctereutes procyonoides,135.1857,35.64930003
Nyctereutes procyonoides,135.3,34.80000003
Nyctereutes procyonoides,137.7916,34.84970003
Nyctereutes procyonoides,139.036389,36.446111
Nyctereutes procyonoides,139.5311,35.33420003
Nyctereutes procyonoides,138.88,36.390833
Nyctereutes procyonoides,138.765,36.300833
Nyctereutes procyonoides,138.776944,36.083056
Nyctereutes procyonoides,138.896111,36.218611
Nyctereutes procyonoides,140.39302,36.26629
Nyctereutes procyonoides,140.38026,36.39161
Nyctereutes procyonoides,140.65762,36.6123
Nyctereutes procyonoides,139.01431,36.33287
Nyctereutes procyonoides,139.98401,36.29373
Nyctereutes procyonoides,140.30086,36.20089
Nyctereutes procyonoides,140.22342,36.37994
Nyctereutes procyonoides,140.09419,36.36052
Nyctereutes procyonoides,140.60081,35.93456
Nyctereutes procyonoides,140.72322,36.76044
Nyctereutes procyonoides,140.12758,35.59311
Nyctereutes procyonoides,140.09801,36.09246
Nyctereutes procyonoides,139.34801,35.77402
Nyctereutes procyonoides,139.9467,36.11113
Nyctereutes procyonoides,140.56897,36.30923
Nyctereutes procyonoides,133.93169,35.09156
Nyctereutes procyonoides,140.18726,36.15238
Nyctereutes procyonoides,139.87479,36.23333
Nyctereutes procyonoides,136.518378,36.413773
Nyctereutes procyonoides,140.28947,36.11002
Nyctereutes procyonoides,139.91866,35.86437
Nyctereutes procyonoides,139.82069,36.06307
Nyctereutes procyonoides,140.32675,36.0131
Nyctereutes procyonoides,139.86012,35.97686
Nyctereutes procyonoides,140.52885,36.53717
Nyctereutes procyonoides,140.54324,36.21837
Nyctereutes procyonoides,140.41,36.55083
Nyctereutes procyonoides,140.04314,35.90735
Nyctereutes procyonoides,139.61121,35.597
Nyctereutes procyonoides,139.99203,36.02605
Nyctereutes procyonoides,136.625597,36.452767
Nyctereutes procyonoides,138.729167,36.17
Nyctereutes procyonoides,139.46553,35.60397
Nyctereutes procyonoides,139.062778,36.696944
Nyctereutes procyonoides,140.13036,35.80951
Nyctereutes procyonoides,140.58501,36.4585
Nyctereutes procyonoides,139.29715,35.31426
Procyon lotor,-87.745163,41.982431
Procyon lotor,-100.398216,19.570789
Procyon lotor,-98.391069,33.770785
Procyon lotor,-81.97579,41.000571
Procyon lotor,-122.481613,37.787457
Procyon lotor,-118.571577,34.426397
Procyon lotor,-117.21695,32.782775
Procyon lotor,-102.809358,31.320924
Procyon lotor,-98.307463,24.022947
Procyon lotor,-120.620547,35.0312
Procyon lotor,-96.990504,32.606934
Procyon lotor,-122.503574,47.35301
Procyon lotor,-119.518626,34.419269
Procyon lotor,-112.199593,35.247897
Procyon lotor,-97.64103,30.732162
Procyon lotor,-86.298557,39.860369
Procyon lotor,-103.557185,20.756638
Procyon lotor,-76.776889,38.938877
Procyon lotor,-78.694267,35.766808
Procyon lotor,-118.406814,33.76734
Procyon lotor,-76.831652,38.163175
Procyon lotor,-97.394653,31.037703
Procyon lotor,-97.049419,27.830374
Procyon lotor,-82.994604,29.199631
Procyon lotor,-76.515544,36.608365
Procyon lotor,-122.748854,38.044119
Procyon lotor,-70.842741,42.630237
Procyon lotor,-96.999387,32.885941
Procyon lotor,-97.173225,31.047236
Procyon lotor,-122.713722,45.469842
Procyon lotor,-114.21915,36.733401
Procyon lotor,-97.43371,18.322752
Procyon lotor,-96.882029,33.015741
Procyon lotor,-80.342369,25.194477
Procyon lotor,-117.06881,32.763777
Procyon lotor,-111.684143,35.241757
Procyon lotor,-70.668103,41.533777
Procyon lotor,-81.657443,41.181286
Procyon lotor,-80.803657,43.385987
Procyon lotor,-91.984626,30.258168
Procyon lotor,-117.980153,33.726896
Procyon lotor,-117.318878,33.943889
Procyon lotor,-111.02158,32.27898
Procyon lotor,-96.842007,32.931487
Procyon lotor,-105.200403,40.07965
Procyon lotor,-111.26722,47.520103
Procyon lotor,-72.522453,42.330556
Procyon lotor,-117.129339,34.064314
Procyon lotor,-116.423387,33.370606
Procyon lotor,-94.707243,31.33151
Procyon lotor,-96.997819,32.97699
Procyon lotor,-124.356966,49.349096
Procyon lotor,-86.699792,33.275563
Procyon lotor,-81.504275,27.489015
Procyon lotor,-122.953626,38.114736
Procyon lotor,-81.435664,41.130568
Procyon lotor,-77.091361,37.763475
Procyon lotor,-82.291053,27.265603
Procyon lotor,-97.408347,31.136033
Procyon lotor,-83.976959,42.503911
Procyon lotor,-71.708011,45.425883
Procyon lotor,-92.446573,38.946228
Procyon lotor,-91.162707,30.566761
Procyon lotor,-95.570917,29.97354
Procyon lotor,-84.146784,30.150826
Procyon lotor,-80.155222,25.670567
Procyon lotor,-88.823503,30.367919
Procyon lotor,-76.736375,37.202901
Procyon lotor,-98.129858,29.160562
Procyon lotor,-75.652016,45.44547
Procyon lotor,-75.346805,45.512796
Procyon lotor,-118.012353,34.105103
Procyon lotor,-81.222095,42.690511
Procyon lotor,-118.274313,34.12345
Procyon lotor,-77.439462,39.24363
Procyon lotor,-118.824776,34.285145
Procyon lotor,-97.808161,30.161342
Procyon lotor,-122.541743,37.654064
